,open,high,low,close,volume,value
2021-08-24 09:00:00,57627000.0,57905000.0,56773000.0,57650000.0,5100.68258429,292897322854.4743
2021-08-24 13:00:00,57650000.0,57835000.0,57350000.0,57700000.0,2119.52234769,122042518858.96562
2021-08-24 17:00:00,57697000.0,57800000.0,57146000.0,57352000.0,1594.05306118,91700438598.49599
2021-08-24 21:00:00,57352000.0,57399000.0,56610000.0,56790000.0,3970.35236674,226260419360.95535
2021-08-25 01:00:00,56790000.0,57147000.0,56357000.0,56770000.0,2550.28688394,144635060232.7297
2021-08-25 05:00:00,56827000.0,56888000.0,55800000.0,56134000.0,1478.13085111,83423399173.92427
2021-08-25 09:00:00,56168000.0,56560000.0,55890000.0,56358000.0,2045.99327393,115219947702.00922
2021-08-25 13:00:00,56380000.0,56830000.0,56325000.0,56635000.0,2034.29376404,115124687474.04385
2021-08-25 17:00:00,56635000.0,56741000.0,55100000.0,55519000.0,3605.45001513,200822334430.5913
2021-08-25 21:00:00,55520000.0,56832000.0,55407000.0,56765000.0,2063.60129197,115569666274.04317
2021-08-26 01:00:00,56765000.0,57145000.0,56501000.0,56786000.0,644.55873547,36585980473.77033
2021-08-26 05:00:00,56751000.0,57325000.0,56719000.0,57100000.0,794.2094894,45291604775.47451
2021-08-26 09:00:00,57088000.0,57497000.0,56051000.0,56100000.0,2017.67519156,114778613399.57133
2021-08-26 13:00:00,56100000.0,56390000.0,54906000.0,55170000.0,3081.59250414,171053455943.2333
2021-08-26 17:00:00,55170000.0,55442000.0,55000000.0,55129000.0,1398.02846931,77224579340.57828
2021-08-26 21:00:00,55104000.0,55600000.0,54504000.0,55185000.0,1804.56721999,99574285236.5877
2021-08-27 01:00:00,55185000.0,55621000.0,55084000.0,55544000.0,547.31230087,30305319101.4791
2021-08-27 05:00:00,55544000.0,55891000.0,55150000.0,55225000.0,627.92803889,34902170754.69769
2021-08-27 09:00:00,55255000.0,56000000.0,54616000.0,55138000.0,1936.24795348,107221272365.9091
2021-08-27 13:00:00,55139000.0,55721000.0,54960000.0,55720000.0,1166.86424065,64523753320.14682
2021-08-27 17:00:00,55720000.0,56080000.0,55265000.0,55702000.0,1288.84344197,71771616619.86012
2021-08-27 21:00:00,55702000.0,57160000.0,55155000.0,56727000.0,2502.81897702,140805030141.6727
2021-08-28 01:00:00,56727000.0,57022000.0,56580000.0,56876000.0,479.63709033,27256156843.57777
2021-08-28 05:00:00,56876000.0,57600000.0,56791000.0,57401000.0,949.92026444,54497830548.14158
2021-08-28 09:00:00,57400000.0,57885000.0,57251000.0,57409000.0,1532.43516118,88203932787.35243
2021-08-28 13:00:00,57409000.0,57609000.0,57260000.0,57510000.0,861.28352391,49499735248.85498
2021-08-28 17:00:00,57510000.0,57616000.0,57200000.0,57270000.0,731.01373534,41960584087.1857
2021-08-28 21:00:00,57270000.0,57404000.0,56704000.0,57209000.0,1002.01609343,57198697764.55613
2021-08-29 01:00:00,57209000.0,57750000.0,57129000.0,57242000.0,713.22477912,40989435143.86963
2021-08-29 05:00:00,57241000.0,57501000.0,57141000.0,57428000.0,712.28945566,40842695858.71406
2021-08-29 09:00:00,57428000.0,58000000.0,56687000.0,56884000.0,2440.68513999,140131852504.7776
2021-08-29 13:00:00,56884000.0,57220000.0,56500000.0,57008000.0,1613.980109,91838576028.7841
2021-08-29 17:00:00,57008000.0,57450000.0,56803000.0,56950000.0,1657.26323399,94669963429.01222
2021-08-29 21:00:00,56951000.0,57393000.0,56780000.0,57299000.0,3388.67961506,193517373260.15866
2021-08-30 01:00:00,57299000.0,57400000.0,56890000.0,57195000.0,1129.24491484,64486164989.74648
2021-08-30 05:00:00,57168000.0,57800000.0,56938000.0,57272000.0,1393.76566038,80121818041.89925
2021-08-30 09:00:00,57272000.0,57479000.0,56300000.0,56532000.0,3319.06801231,189165518878.75916
2021-08-30 13:00:00,56544000.0,56964000.0,56252000.0,56298000.0,3119.56653901,176449464174.56436
2021-08-30 17:00:00,56298000.0,56845000.0,56220000.0,56564000.0,2029.191248,114728638670.61969
2021-08-30 21:00:00,56564000.0,57013000.0,56300000.0,56674000.0,3802.9360308,215180038421.8523
2021-08-31 01:00:00,56671000.0,56991000.0,56530000.0,56991000.0,658.35553986,37332219864.84063
2021-08-31 05:00:00,56995000.0,57110000.0,55555000.0,55800000.0,1684.21602133,94670395057.67368
2021-08-31 09:00:00,55800000.0,56123000.0,55234000.0,55548000.0,3016.96443864,167816052373.7909
2021-08-31 13:00:00,55548000.0,56077000.0,55277000.0,55946000.0,2191.49483092,121908816903.09818
2021-08-31 17:00:00,55948000.0,56250000.0,55510000.0,56061000.0,2015.13791601,112632303203.68517
2021-08-31 21:00:00,56061000.0,56333000.0,55246000.0,55480000.0,2351.09881416,131115373761.90945
2021-09-01 01:00:00,55468000.0,55648000.0,55232000.0,55448000.0,700.23059535,38816619254.59926
2021-09-01 05:00:00,55448000.0,55564000.0,55022000.0,55230000.0,800.62038766,44227092506.11555
2021-09-01 09:00:00,55228000.0,55400000.0,54538000.0,54976000.0,2134.9491761,117268881168.01585
2021-09-01 13:00:00,54976000.0,55542000.0,54907000.0,55124000.0,1330.22875238,73471174697.09831
2021-09-01 17:00:00,55124000.0,55687000.0,55071000.0,55670000.0,1387.89066498,76986279948.758
2021-09-01 21:00:00,55669000.0,55915000.0,55286000.0,55495000.0,1941.23068819,107855911539.52797
2021-09-02 01:00:00,55484000.0,56900000.0,55331000.0,55979000.0,1390.66160755,78229343144.965
2021-09-02 05:00:00,55978000.0,56497000.0,55927000.0,56455000.0,914.51916908,51436191747.68271
2021-09-02 09:00:00,56445000.0,57840000.0,56232000.0,57451000.0,3040.53964102,173697834522.90323
2021-09-02 13:00:00,57451000.0,58311000.0,57259000.0,57957000.0,2014.96242265,116250183209.2203
2021-09-02 17:00:00,57925000.0,58156000.0,57649000.0,57978000.0,1305.43883671,75608676817.7612
2021-09-02 21:00:00,57978000.0,58369000.0,57506000.0,57696000.0,1645.02660623,95245502791.12814
2021-09-03 01:00:00,57696000.0,57729000.0,57375000.0,57378000.0,339.43117967,19534267982.59704
2021-09-03 05:00:00,57375000.0,57720000.0,57135000.0,57155000.0,619.79497466,35634347594.39913
2021-09-03 09:00:00,57155000.0,57560000.0,56500000.0,57385000.0,1934.92567065,110237944431.39998
2021-09-03 13:00:00,57385000.0,57705000.0,57324000.0,57411000.0,1431.63996128,82337291511.92618
2021-09-03 17:00:00,57446000.0,58500000.0,57378000.0,57916000.0,3356.2952749,194573489501.71027
2021-09-03 21:00:00,57916000.0,59110000.0,57801000.0,58469000.0,2802.34739637,164410106584.88434
2021-09-04 01:00:00,58469000.0,58515000.0,57999000.0,58092000.0,711.09473367,41415634360.41019
2021-09-04 05:00:00,58092000.0,58144000.0,57500000.0,57783000.0,1291.18329855,74596738024.63557
2021-09-04 09:00:00,57717000.0,58337000.0,57184000.0,58164000.0,2269.28159354,131025797590.39786
2021-09-04 13:00:00,58164000.0,58500000.0,58080000.0,58207000.0,1068.58199436,62300629635.73708
2021-09-04 17:00:00,58207000.0,58376000.0,57455000.0,57821000.0,1457.77945427,84421772772.13516
2021-09-04 21:00:00,57821000.0,58046000.0,57610000.0,57697000.0,1030.8381426,59623442003.24011
2021-09-05 01:00:00,57686000.0,58002000.0,57491000.0,58001000.0,686.74726874,39627487650.57672
2021-09-05 05:00:00,58001000.0,58300000.0,57700000.0,57827000.0,729.12733706,42279897386.69343
2021-09-05 09:00:00,57836000.0,58052000.0,57295000.0,57299000.0,2013.74071399,116066072808.17249
2021-09-05 13:00:00,57295000.0,57684000.0,57217000.0,57546000.0,690.58334242,39658396516.97764
2021-09-05 17:00:00,57546000.0,58100000.0,57515000.0,57905000.0,1164.35905433,67359980284.74493
2021-09-05 21:00:00,57869000.0,58180000.0,57414000.0,57625000.0,1541.45503571,89181029231.4883
2021-09-06 01:00:00,57625000.0,58298000.0,57595000.0,58111000.0,656.71797874,38025934262.46946
2021-09-06 05:00:00,58109000.0,59650000.0,58105000.0,59212000.0,1506.51616673,89025864630.72914
2021-09-06 09:00:00,59212000.0,59660000.0,58929000.0,59506000.0,1571.11737756,93332488498.43005
