,open,high,low,close,volume,value
2020-12-07 09:00:00,20976000.0,21075000.0,19216000.0,20793000.0,29144.12708678,589658061308.3834
2020-12-14 09:00:00,20786000.0,26562000.0,20610000.0,25880000.0,55662.50577034,1329554775903.5974
2020-12-21 09:00:00,25890000.0,31800000.0,24600000.0,29319000.0,78221.50956471,2145397015085.7139
2020-12-28 09:00:00,29347000.0,39453000.0,29028000.0,37537000.0,82386.61993444,2788127572835.951
2021-01-04 09:00:00,37537000.0,48550000.0,33000000.0,43404000.0,127805.4712967,5313106017882.185
2021-01-11 09:00:00,43400000.0,43998000.0,35010000.0,39536000.0,141058.99823533,5588003939801.688
2021-01-18 09:00:00,39536000.0,41251000.0,31662000.0,35539000.0,85613.70818481,3156095644531.1226
2021-01-25 09:00:00,35539000.0,41072000.0,33235000.0,36408000.0,99338.60459954,3682602225515.246
2021-02-01 09:00:00,36408000.0,43622000.0,35907000.0,41921000.0,76798.73551582,3032150806602.024
2021-02-08 09:00:00,41921000.0,53380000.0,41562000.0,52706000.0,94981.31289268,4656545223712.634
2021-02-15 09:00:00,52711000.0,65985000.0,50313000.0,65417000.0,79123.02589633,4654386614108.521
2021-02-22 09:00:00,65416000.0,65488000.0,49755000.0,51798000.0,131610.25801729,7403669661031.203
2021-03-01 09:00:00,51798000.0,59640000.0,51560000.0,58155000.0,64264.70163911,3615533938155.5005
2021-03-08 09:00:00,58155000.0,71450000.0,57187000.0,68587000.0,67036.97869895,4329844773208.39
2021-03-15 09:00:00,68587000.0,70204000.0,62000000.0,67120000.0,82798.76565596,5499751093926.388
2021-03-22 09:00:00,67064000.0,68380000.0,62500000.0,67133000.0,58907.60712026,3859484946145.054
2021-03-29 09:00:00,67133000.0,75703000.0,66500000.0,73974000.0,59337.79983246,4260876691949.1313
2021-04-05 09:00:00,73908000.0,79600000.0,68500000.0,78743000.0,78194.26340204,5928721551286.502
2021-04-12 09:00:00,78835000.0,81994000.0,70924000.0,75643000.0,67999.58061302,5333068791410.299
2021-04-19 09:00:00,75692000.0,76829000.0,54964000.0,59859000.0,96745.94138055,6241129465370.212
2021-04-26 09:00:00,59850000.0,69386000.0,59075000.0,68452000.0,71929.27451102,4695775696706.877
2021-05-03 09:00:00,68452000.0,73129000.0,66500000.0,71505000.0,83255.44620759,5780636069371.098
2021-05-10 09:00:00,71506000.0,72460000.0,55500000.0,57649000.0,117012.68562499,7541197811932.05
2021-05-17 09:00:00,57655000.0,58000000.0,39331000.0,42585000.0,170176.24997782,8457179771323.377
2021-05-24 09:00:00,42585000.0,49113000.0,40580000.0,43177000.0,93975.80082048,4245404123619.785
2021-05-31 09:00:00,43177000.0,45692000.0,41304000.0,41780000.0,56750.99107772,2461473648840.5347
2021-06-07 09:00:00,41780000.0,45116000.0,36364000.0,44746000.0,99671.18074518,4144777458492.8525
2021-06-14 09:00:00,44746000.0,47500000.0,39785000.0,41842000.0,88742.70752718,3938966896243.392
2021-06-21 09:00:00,41843000.0,42048000.0,33900000.0,39985000.0,122864.14668537,4683030446786.48
2021-06-28 09:00:00,39985000.0,42180000.0,38288000.0,40948000.0,60590.03192206,2433390515664.0566
2021-07-05 09:00:00,40915000.0,40948000.0,38123000.0,40194000.0,43130.76588219,1708217949646.9001
2021-07-12 09:00:00,40194000.0,40570000.0,36750000.0,37663000.0,36753.87932653,1404790780421.9968
2021-07-19 09:00:00,37663000.0,41110000.0,34820000.0,41070000.0,36639.58838959,1381156598404.151
2021-07-26 09:00:00,41054000.0,49471000.0,40864000.0,46274000.0,67852.5191197,3091503069732.9766
2021-08-02 09:00:00,46263000.0,51731000.0,43841000.0,50799000.0,60845.21762324,2888007031332.0767
2021-08-09 09:00:00,50790000.0,55742000.0,49585000.0,54636000.0,75231.82649983,3997669125276.403
2021-08-16 09:00:00,54638000.0,58280000.0,51938000.0,57681000.0,75315.59167693,4127601224944.163
2021-08-23 09:00:00,57714000.0,58726000.0,54504000.0,57272000.0,73923.69547837,4204144108073.572
2021-08-30 09:00:00,57272000.0,59650000.0,54538000.0,59212000.0,70096.76851118,3991428637423.894
2021-09-06 09:00:00,59212000.0,61113000.0,53154000.0,55078000.0,66460.63921695,3773143703220.1167
2021-09-13 09:00:00,55078000.0,58980000.0,53600000.0,57976000.0,40901.97882705,2320360939885.3496
2021-09-20 09:00:00,58030000.0,58142000.0,50059000.0,52798000.0,60887.91762137,3233865318117.7837
2021-09-27 09:00:00,52798000.0,59390000.0,49924000.0,58567000.0,41782.82278208,2271813172829.7227
2021-10-04 09:00:00,58466000.0,69023000.0,57346000.0,67801000.0,57844.16491332,3710220900999.827
2021-10-11 09:00:00,67801000.0,76721000.0,66865000.0,75933000.0,62207.00843811,4461029130253.12
2021-10-18 09:00:00,75933000.0,81750000.0,73247000.0,74501000.0,72402.20492868,5594400344339.517
2021-10-25 09:00:00,74501000.0,77024000.0,70180000.0,72391000.0,58964.37560243,4345743672313.6963
2021-11-01 09:00:00,72325000.0,76700000.0,71003000.0,76536000.0,41402.75162754,3063528645341.336
2021-11-08 09:00:00,76649000.0,82700000.0,76534000.0,79310000.0,53982.84694315,4296650503460.998
2021-11-15 09:00:00,79323000.0,80250000.0,69150000.0,73047000.0,64717.83940044,4773541606830.33
2021-11-22 09:00:00,73096000.0,74136000.0,68089000.0,72303000.0,54641.39243851,3884882259668.62
2021-11-29 09:00:00,72255000.0,73300000.0,56000000.0,61877000.0,87870.47468824,5864352347840.806
2021-12-06 09:00:00,61877000.0,64120000.0,59016000.0,62049000.0,49095.40824005,3012187724466.202
2021-12-13 09:00:00,61995000.0,62190000.0,57207000.0,58329000.0,53112.35451436,3154924130953.8696
2021-12-20 09:00:00,58329000.0,62850000.0,56917000.0,61467000.0,38893.22468382,2337846982363.9087
2021-12-27 09:00:00,61467000.0,62500000.0,56233000.0,57531000.0,37290.72359164,2184693276245.946
