,open,high,low,close,volume,value
2024-06-23 09:00:00,189200.0,191000.0,181000.0,181300.0,201726.48880276,37545820574.48081
2024-06-24 09:00:00,181350.0,188000.0,173000.0,187400.0,684740.09440457,122920839187.3339
2024-06-25 09:00:00,187450.0,197250.0,185000.0,193200.0,431210.01888692,82861308392.55861
2024-06-26 09:00:00,193200.0,198450.0,190750.0,193450.0,302564.05775753,58706143744.68972
2024-06-27 09:00:00,193250.0,212450.0,190450.0,210750.0,683532.613902,140174121853.16003
2024-06-28 09:00:00,210750.0,212000.0,196000.0,197350.0,494734.7104646,100520527304.88126
2024-06-29 09:00:00,197450.0,201500.0,196750.0,197350.0,202230.13293457,40290536960.41009
2024-06-30 09:00:00,197500.0,206550.0,193000.0,205400.0,287217.6296589,57167051329.53354
2024-07-01 09:00:00,205400.0,209500.0,204200.0,205900.0,295947.9023146,61228180713.956795
2024-07-02 09:00:00,205750.0,217900.0,205200.0,216200.0,389065.1678512,82113497684.24585
2024-07-03 09:00:00,216200.0,217250.0,198050.0,199650.0,712555.69201618,146300251078.1869
2024-07-04 09:00:00,199650.0,202150.0,182600.0,183550.0,947534.86967536,181145569840.6624
2024-07-05 09:00:00,183550.0,194550.0,175000.0,192150.0,1321233.88955632,242280773982.27045
2024-07-06 09:00:00,192150.0,205000.0,188400.0,203400.0,542615.52382808,106873163757.29039
2024-07-07 09:00:00,203400.0,204000.0,186800.0,187200.0,510382.45352825,100236391397.33783
2024-07-08 09:00:00,187200.0,201500.0,183000.0,198600.0,916221.4073561,177335126582.05362
2024-07-09 09:00:00,198550.0,203700.0,194300.0,200000.0,551538.79698211,110107849774.51605
2024-07-10 09:00:00,200000.0,205950.0,196800.0,201000.0,490299.2452192,98703410573.28563
2024-07-11 09:00:00,201000.0,205450.0,192100.0,192200.0,619693.84337529,123379294269.58008
2024-07-12 09:00:00,192200.0,197600.0,189950.0,196250.0,403082.88909375,77867795409.5364
2024-07-13 09:00:00,196200.0,201050.0,194300.0,198750.0,297534.58797587,58560327780.81802
2024-07-14 09:00:00,198650.0,208550.0,198600.0,207450.0,444094.62433578,90491218782.29398
2024-07-15 09:00:00,207450.0,224650.0,206500.0,224050.0,566851.35499642,121930796750.56853
2024-07-16 09:00:00,223950.0,227200.0,213600.0,224300.0,715839.8864549,157918365415.03055
2024-07-17 09:00:00,224300.0,228300.0,216800.0,217450.0,504328.61591122,112730461173.6397
2024-07-18 09:00:00,217250.0,226400.0,217150.0,223600.0,387229.09123636,85989325674.60847
2024-07-19 09:00:00,223450.0,240000.0,218700.0,235950.0,753911.68405112,174106592635.2513
2024-07-20 09:00:00,235900.0,245500.0,235150.0,243150.0,434312.92899606,103870913539.40492
2024-07-21 09:00:00,243150.0,257950.0,239850.0,257100.0,582851.79998024,144342216615.44922
2024-07-22 09:00:00,257100.0,257900.0,247250.0,249800.0,543345.27909338,136853807501.11801
2024-07-23 09:00:00,249800.0,252650.0,239800.0,242200.0,515456.44290062,126634827356.42809
2024-07-24 09:00:00,242250.0,254450.0,238150.0,249100.0,541755.45242759,133881830026.88802
2024-07-25 09:00:00,249100.0,251000.0,232650.0,241550.0,909971.60683888,217900843500.29156
2024-07-26 09:00:00,241550.0,256250.0,241250.0,255200.0,531218.42755802,132890807967.90375
2024-07-27 09:00:00,255250.0,262500.0,248900.0,255350.0,744921.69565717,191303759592.32767
2024-07-28 09:00:00,255350.0,260300.0,253000.0,258200.0,400009.874605,102885431971.1323
2024-07-29 09:00:00,258200.0,269450.0,253800.0,255400.0,732670.48440503,192807635364.64313
2024-07-30 09:00:00,255400.0,258550.0,246350.0,251050.0,494739.0451403,125299037656.70125
2024-07-31 09:00:00,251050.0,257400.0,240100.0,240200.0,537044.48016572,134564799220.71205
2024-08-01 09:00:00,240150.0,241950.0,223150.0,235300.0,805173.96422279,188726431479.82077
2024-08-02 09:00:00,235400.0,238250.0,211700.0,215400.0,975325.6868886,218233927873.39505
2024-08-03 09:00:00,215350.0,217500.0,198350.0,201800.0,918454.83290138,192045602319.2387
2024-08-04 09:00:00,201800.0,206300.0,187000.0,194550.0,1109072.24819549,219136495760.49106
2024-08-05 09:00:00,194700.0,196650.0,160500.0,187200.0,5137187.0440237,915097811046.1382
2024-08-06 09:00:00,187200.0,213050.0,186450.0,206900.0,2190212.54612496,442178474524.89453
2024-08-07 09:00:00,206750.0,220650.0,202550.0,205850.0,1731601.49864291,367350412261.6749
2024-08-08 09:00:00,205750.0,228850.0,200900.0,228400.0,1729128.56785085,378554854297.34503
2024-08-09 09:00:00,228400.0,229950.0,212500.0,219850.0,1142611.27917572,251778899107.4744
2024-08-10 09:00:00,219800.0,223600.0,215000.0,216750.0,537693.19847858,117101365019.3792
