,open,high,low,close,volume,value
2021-09-27 09:00:00,1150.0,1195.0,1130.0,1130.0,212055164.56052163,246897106965.27814
2021-09-28 09:00:00,1130.0,1150.0,1090.0,1095.0,248228066.81148964,280421576078.9201
2021-09-29 09:00:00,1095.0,1215.0,1080.0,1135.0,443463837.70617354,507322204021.62415
2021-09-30 09:00:00,1135.0,1175.0,1125.0,1160.0,264543627.42190936,305215085044.6861
2021-10-01 09:00:00,1160.0,1295.0,1155.0,1265.0,544189826.4508326,667987709714.2474
2021-10-02 09:00:00,1265.0,1295.0,1230.0,1265.0,280076999.17734873,352817438142.4774
2021-10-03 09:00:00,1265.0,1325.0,1240.0,1280.0,360349475.2690835,463128345408.2864
2021-10-04 09:00:00,1280.0,1290.0,1235.0,1270.0,329644769.70292187,416063338310.17053
2021-10-05 09:00:00,1270.0,1320.0,1260.0,1300.0,367126324.16691047,471626660696.53
2021-10-06 09:00:00,1305.0,1340.0,1235.0,1310.0,460791261.57129,594300201273.0192
2021-10-07 09:00:00,1305.0,1330.0,1270.0,1300.0,285591609.0550216,372140197219.91095
2021-10-08 09:00:00,1300.0,1330.0,1285.0,1295.0,244831474.59013236,320191402110.8445
2021-10-09 09:00:00,1300.0,1475.0,1295.0,1415.0,515105595.28983796,712977004587.5927
2021-10-10 09:00:00,1410.0,1500.0,1385.0,1405.0,474237055.28167295,684651813249.314
2021-10-11 09:00:00,1405.0,1450.0,1385.0,1405.0,266764930.99865922,378894020795.0173
2021-10-12 09:00:00,1405.0,1405.0,1320.0,1355.0,368965479.7291341,500178547095.75116
2021-10-13 09:00:00,1355.0,1395.0,1325.0,1375.0,282846783.98106366,383755791405.6696
2021-10-14 09:00:00,1370.0,1405.0,1360.0,1375.0,217241524.34209248,300170045341.7622
2021-10-15 09:00:00,1375.0,1450.0,1350.0,1405.0,656736640.3400394,911586024421.1409
2021-10-16 09:00:00,1405.0,1455.0,1390.0,1395.0,318227424.5457998,449030245742.1271
2021-10-17 09:00:00,1400.0,1400.0,1315.0,1350.0,212210154.07646435,291580596283.2794
2021-10-18 09:00:00,1350.0,1365.0,1320.0,1340.0,232321146.19878387,312103650753.0035
2021-10-19 09:00:00,1335.0,1355.0,1320.0,1335.0,156249882.6555773,208714477829.40262
2021-10-20 09:00:00,1335.0,1400.0,1330.0,1385.0,292718499.90196306,399836221150.404
2021-10-21 09:00:00,1385.0,1420.0,1335.0,1335.0,354472955.983148,488856291404.53143
2021-10-22 09:00:00,1335.0,1380.0,1320.0,1330.0,280331920.69008803,377224464488.4804
2021-10-23 09:00:00,1330.0,1345.0,1320.0,1335.0,114230849.51361105,152516768671.78656
2021-10-24 09:00:00,1340.0,1340.0,1310.0,1325.0,142457190.00945467,189442343935.82767
2021-10-25 09:00:00,1325.0,1350.0,1320.0,1325.0,136490883.39389098,181676199807.2572
2021-10-26 09:00:00,1325.0,1390.0,1325.0,1340.0,245387602.86612764,330752512289.286
2021-10-27 09:00:00,1340.0,1365.0,1220.0,1225.0,674966179.331271,868181714416.3905
2021-10-28 09:00:00,1230.0,1305.0,1200.0,1275.0,439862075.3201782,555927156869.9039
2021-10-29 09:00:00,1280.0,1310.0,1270.0,1300.0,226556090.71220422,291862883568.0228
2021-10-30 09:00:00,1300.0,1340.0,1270.0,1285.0,257247039.6920318,334417113285.4333
2021-10-31 09:00:00,1290.0,1365.0,1280.0,1315.0,397109058.97462314,521943785402.275
2021-11-01 09:00:00,1315.0,1340.0,1275.0,1295.0,226435679.9818518,294852903364.34515
2021-11-02 09:00:00,1295.0,1350.0,1295.0,1330.0,272428226.027582,357440279894.6139
2021-11-03 09:00:00,1330.0,1450.0,1320.0,1430.0,654251486.5337285,911593029181.9917
2021-11-04 09:00:00,1430.0,1490.0,1410.0,1445.0,366063921.2596559,528945290298.50183
2021-11-05 09:00:00,1440.0,1445.0,1390.0,1405.0,210928209.17847848,299088019728.2816
2021-11-06 09:00:00,1410.0,1420.0,1365.0,1395.0,155876251.8422059,217512910963.94482
2021-11-07 09:00:00,1400.0,1495.0,1390.0,1480.0,247190833.77068073,357947117955.0322
2021-11-08 09:00:00,1475.0,1575.0,1475.0,1545.0,481447177.4605916,738496660256.9849
2021-11-09 09:00:00,1545.0,1555.0,1465.0,1515.0,358006455.5678624,541022160646.9659
2021-11-10 09:00:00,1515.0,1610.0,1425.0,1460.0,708584774.2910614,1078259809214.0088
2021-11-11 09:00:00,1465.0,1530.0,1440.0,1480.0,341875629.7618746,505516879616.9381
2021-11-12 09:00:00,1475.0,1495.0,1415.0,1450.0,297170195.1561275,430648055210.34064
2021-11-13 09:00:00,1445.0,1460.0,1420.0,1440.0,142896001.06232345,205862917269.03732
2021-11-14 09:00:00,1440.0,1455.0,1425.0,1440.0,115623595.65678279,166591709869.85925
2021-11-15 09:00:00,1445.0,1475.0,1425.0,1425.0,203955153.59974146,296180421494.5626
2021-11-16 09:00:00,1430.0,1430.0,1320.0,1340.0,461462318.3943702,631152101792.9448
2021-11-17 09:00:00,1340.0,1365.0,1305.0,1340.0,344973623.47419053,460135717871.1886
2021-11-18 09:00:00,1345.0,1420.0,1275.0,1285.0,618724545.1963235,838538026728.7949
2021-11-19 09:00:00,1290.0,1365.0,1265.0,1345.0,262629517.11894435,344338197987.4935
2021-11-20 09:00:00,1350.0,1365.0,1320.0,1355.0,151313101.5528326,203849360310.1513
2021-11-21 09:00:00,1355.0,1360.0,1320.0,1325.0,142476091.8479458,190484882842.32242
2021-11-22 09:00:00,1320.0,1330.0,1285.0,1300.0,223607889.15862367,292191238997.1329
2021-11-23 09:00:00,1300.0,1335.0,1285.0,1330.0,229612980.3771637,299793777601.09674
2021-11-24 09:00:00,1325.0,1335.0,1270.0,1295.0,278039117.935551,360128079817.21265
2021-11-25 09:00:00,1295.0,1330.0,1280.0,1295.0,339408327.8375339,442405761842.6936
2021-11-26 09:00:00,1295.0,1300.0,1180.0,1200.0,491908361.2795684,607272704548.1528
2021-11-27 09:00:00,1200.0,1225.0,1185.0,1215.0,164431425.9637593,199494458584.95947
2021-11-28 09:00:00,1215.0,1230.0,1155.0,1220.0,248893244.2651719,295064008307.2895
2021-11-29 09:00:00,1220.0,1255.0,1215.0,1235.0,219035187.28529862,269901319221.69803
2021-11-30 09:00:00,1235.0,1280.0,1215.0,1235.0,251844498.861602,313729245108.4991
2021-12-01 09:00:00,1235.0,1260.0,1225.0,1225.0,163672338.85973993,203516646447.3018
2021-12-02 09:00:00,1225.0,1230.0,1200.0,1210.0,178379805.87542376,216181852290.3326
2021-12-03 09:00:00,1205.0,1225.0,1155.0,1170.0,264158063.77363545,316176425725.27814
2021-12-04 09:00:00,1170.0,1170.0,855.0,1070.0,1135418113.4865236,1139372167904.2332
2021-12-05 09:00:00,1065.0,1095.0,977.0,1010.0,451055844.6846784,463215503678.4243
2021-12-06 09:00:00,1005.0,1035.0,940.0,1030.0,514580399.72254205,503192822246.2891
2021-12-07 09:00:00,1030.0,1055.0,1005.0,1020.0,287972499.1973304,296379061245.8554
2021-12-08 09:00:00,1020.0,1090.0,1000.0,1065.0,384438964.7431472,399241467324.743
2021-12-09 09:00:00,1065.0,1165.0,1025.0,1070.0,704861239.9941695,777825644803.8063
2021-12-10 09:00:00,1070.0,1095.0,1005.0,1010.0,360406047.87126976,378663201441.5797
2021-12-11 09:00:00,1015.0,1050.0,999.0,1040.0,173231435.68421075,178728733322.90823
2021-12-12 09:00:00,1040.0,1065.0,1010.0,1040.0,159928146.9602282,165509628425.53946
2021-12-13 09:00:00,1040.0,1050.0,960.0,982.0,331457108.8933288,332989039303.0069
