,open,high,low,close,volume,value
2021-09-28 09:00:00,776.0,780.0,725.0,728.0,43293009.76795682,32627736479.391193
2021-09-29 09:00:00,728.0,767.0,712.0,738.0,33649416.97784044,24988849705.54115
2021-09-30 09:00:00,737.0,823.0,735.0,820.0,56291677.99071669,44333421384.87125
2021-10-01 09:00:00,820.0,994.0,805.0,981.0,182206236.321294,166328944369.83676
2021-10-02 09:00:00,982.0,1025.0,937.0,962.0,140932337.5734002,137750873814.5562
2021-10-03 09:00:00,963.0,1060.0,921.0,1060.0,119071174.37973277,116955155445.03098
2021-10-04 09:00:00,1055.0,1065.0,970.0,1010.0,166415136.94515857,168968041019.85236
2021-10-05 09:00:00,1010.0,1010.0,943.0,967.0,73738038.03587686,71834194756.53148
2021-10-06 09:00:00,967.0,1020.0,893.0,993.0,114129406.83880435,110263231937.85263
2021-10-07 09:00:00,992.0,993.0,939.0,976.0,52784510.18812916,50698224672.99443
2021-10-08 09:00:00,976.0,998.0,944.0,957.0,62565739.79968233,60300453346.78689
2021-10-09 09:00:00,957.0,988.0,945.0,977.0,42571492.35192339,40888007990.721535
2021-10-10 09:00:00,975.0,977.0,926.0,929.0,27524123.11641435,26214904811.238987
2021-10-11 09:00:00,928.0,946.0,904.0,916.0,30402202.29489323,28168307069.145855
2021-10-12 09:00:00,916.0,919.0,847.0,891.0,34625183.42500888,30417617099.101334
2021-10-13 09:00:00,890.0,912.0,872.0,907.0,25170789.21979783,22408531888.526684
2021-10-14 09:00:00,907.0,974.0,893.0,951.0,62623217.12085913,58863522980.88599
2021-10-15 09:00:00,951.0,969.0,874.0,909.0,55622056.60781867,51175432761.563446
2021-10-16 09:00:00,909.0,923.0,893.0,920.0,16580805.96012114,15087635227.439846
2021-10-17 09:00:00,921.0,936.0,882.0,892.0,14941119.20190782,13630818510.343702
2021-10-18 09:00:00,890.0,949.0,885.0,907.0,58697237.30930126,53710004384.579994
2021-10-19 09:00:00,908.0,909.0,890.0,899.0,12095318.87233465,10884755592.716913
2021-10-20 09:00:00,900.0,958.0,891.0,941.0,22993022.7382977,21220049022.862904
2021-10-21 09:00:00,940.0,970.0,924.0,926.0,27999738.21315532,26461067787.404446
2021-10-22 09:00:00,925.0,947.0,913.0,927.0,16009283.69601481,14924893504.233345
2021-10-23 09:00:00,928.0,935.0,910.0,934.0,8216344.59227364,7582483650.871114
2021-10-24 09:00:00,935.0,972.0,933.0,971.0,38244258.26812637,36459634350.5619
2021-10-25 09:00:00,971.0,998.0,939.0,975.0,50292751.99044534,48959313758.525154
2021-10-26 09:00:00,975.0,1045.0,965.0,1005.0,49060316.78307602,49320108120.501114
2021-10-27 09:00:00,1005.0,1075.0,870.0,941.0,103599689.38941431,101507592098.31313
2021-10-28 09:00:00,941.0,1135.0,912.0,1130.0,126416974.43627185,130415219907.0361
2021-10-29 09:00:00,1130.0,1440.0,1095.0,1395.0,323954331.5511241,418524455633.336
2021-10-30 09:00:00,1390.0,2795.0,1270.0,2125.0,899275953.8794948,1607033680680.7837
2021-10-31 09:00:00,2130.0,2915.0,1710.0,1855.0,437192760.1866943,1035576999073.1968
2021-11-01 09:00:00,1855.0,2985.0,1815.0,2525.0,765895531.9914203,1843735166429.2747
2021-11-02 09:00:00,2530.0,4250.0,2465.0,3620.0,918925826.7715422,3052491176789.878
2021-11-03 09:00:00,3600.0,4075.0,3145.0,3810.0,568844590.2005863,2085285396902.7673
2021-11-04 09:00:00,3815.0,3910.0,3155.0,3245.0,225541032.2088244,795603936730.4932
2021-11-05 09:00:00,3260.0,3380.0,2980.0,3115.0,139759513.91435668,446854217761.664
2021-11-06 09:00:00,3110.0,3450.0,3065.0,3275.0,129591622.76472351,424221381372.6881
2021-11-07 09:00:00,3280.0,3325.0,3170.0,3255.0,35088854.71620691,113563309394.8991
2021-11-08 09:00:00,3250.0,3275.0,3010.0,3105.0,51949720.50052071,160289196543.14484
2021-11-09 09:00:00,3105.0,3110.0,2850.0,2875.0,52680630.94568109,155801207197.15793
2021-11-10 09:00:00,2875.0,3180.0,2580.0,2825.0,106994356.62985829,316706090225.58563
