,open,high,low,close,volume,value
2023-01-18 09:00:00,0.0117,0.016,0.0117,0.0139,15482665960616.355,233890925259.99445
2023-01-19 09:00:00,0.014,0.0147,0.0134,0.0143,2991115054143.4,41571215011.77047
2023-01-20 09:00:00,0.0143,0.0153,0.0141,0.0152,1409674978672.814,20400548322.026714
2023-01-21 09:00:00,0.0151,0.0156,0.0146,0.0147,1614832720205.766,24280726182.055614
2023-01-22 09:00:00,0.0147,0.0156,0.0144,0.015,971434014286.0873,14600477425.74087
2023-01-23 09:00:00,0.015,0.0153,0.0148,0.015,642735950425.077,9673965229.911291
2023-01-24 09:00:00,0.015,0.0152,0.0136,0.0141,783709145606.2113,11531370524.904352
2023-01-25 09:00:00,0.014,0.0148,0.0136,0.0146,606947330085.379,8559305984.293421
2023-01-26 09:00:00,0.0146,0.015,0.0143,0.0146,980310975718.4482,14368141403.180252
2023-01-27 09:00:00,0.0146,0.0149,0.0142,0.0147,383586003181.57654,5554568256.681015
2023-01-28 09:00:00,0.0147,0.0171,0.0147,0.015,3019596778420.326,46763463512.14697
2023-01-29 09:00:00,0.0149,0.0152,0.0148,0.015,730900968011.7198,10983733376.72849
2023-01-30 09:00:00,0.015,0.0152,0.0141,0.0145,904267162526.2831,13290265570.33729
2023-01-31 09:00:00,0.0144,0.0152,0.0143,0.0148,1326497135252.2332,19589240944.94096
2023-02-01 09:00:00,0.0148,0.0151,0.0142,0.0149,627697419522.7782,9211162062.256681
2023-02-02 09:00:00,0.0149,0.0168,0.0149,0.0152,1794241334419.1462,28048763554.649498
2023-02-03 09:00:00,0.0153,0.0162,0.0151,0.016,1456651052811.3203,22808058475.152283
2023-02-04 09:00:00,0.016,0.0259,0.0159,0.0186,16715710403410.139,318173213070.23114
2023-02-05 09:00:00,0.0185,0.0195,0.0175,0.018,6986513783530.076,130040869872.11636
2023-02-06 09:00:00,0.018,0.0188,0.0177,0.0181,2834556578803.297,51779124829.6749
2023-02-07 09:00:00,0.0181,0.0183,0.0175,0.0183,1761929464928.4612,31571523101.207047
2023-02-08 09:00:00,0.0183,0.0184,0.0173,0.0176,1222830836994.6555,21834370679.303333
2023-02-09 09:00:00,0.0175,0.0177,0.0154,0.0157,1844600691317.5813,30661338886.975945
2023-02-10 09:00:00,0.0157,0.0172,0.0155,0.0167,1904785159141.9868,30723877160.731102
2023-02-11 09:00:00,0.0168,0.0171,0.0161,0.0167,1265106338323.7402,20849159038.448193
2023-02-12 09:00:00,0.0167,0.0175,0.0163,0.0167,971755308179.1305,16325767119.051674
2023-02-13 09:00:00,0.0167,0.0169,0.0156,0.0163,1299375377120.0266,21198197674.45417
2023-02-14 09:00:00,0.0162,0.0166,0.0155,0.0166,1218118988463.8372,19637844922.74024
2023-02-15 09:00:00,0.0166,0.0178,0.0163,0.0176,1878695090657.7708,31812727047.647305
2023-02-16 09:00:00,0.0177,0.018,0.0163,0.0164,2069296427976.9827,35929479875.84655
2023-02-17 09:00:00,0.0165,0.0172,0.0163,0.0171,1153488225138.3098,19515956011.37269
2023-02-18 09:00:00,0.017,0.0173,0.0167,0.017,637978378619.9575,10880919485.373556
2023-02-19 09:00:00,0.017,0.018,0.0169,0.0173,1316368288178.4714,22912422458.74519
2023-02-20 09:00:00,0.0173,0.0177,0.0169,0.0174,1546043587463.528,26857846747.932293
2023-02-21 09:00:00,0.0174,0.0178,0.0168,0.0169,1855388050790.7737,31929978038.276886
2023-02-22 09:00:00,0.017,0.0172,0.0163,0.0172,1012329383342.5173,16901229661.881207
2023-02-23 09:00:00,0.0171,0.0186,0.0169,0.0172,4907306105227.813,86220588024.21878
2023-02-24 09:00:00,0.0172,0.0173,0.0165,0.0168,1866935488975.1362,31637634045.85728
2023-02-25 09:00:00,0.0167,0.0168,0.0161,0.0165,765735523148.0011,12636253134.997522
2023-02-26 09:00:00,0.0166,0.0175,0.0164,0.017,567620689713.416,9517426284.518484
2023-02-27 09:00:00,0.0171,0.0171,0.0165,0.0166,829526678226.3612,13975436398.508675
2023-02-28 09:00:00,0.0166,0.0168,0.0161,0.0161,696464780887.2454,11464367747.657293
2023-03-01 09:00:00,0.0162,0.0164,0.016,0.0162,505383328111.85864,8194561178.980091
2023-03-02 09:00:00,0.0162,0.0162,0.0156,0.0159,702577228935.421,11149891566.28065
2023-03-03 09:00:00,0.016,0.0161,0.0145,0.0152,876610297185.5403,13208763060.695797
2023-03-04 09:00:00,0.0152,0.0153,0.0145,0.0149,361956841060.24054,5415481656.668199
2023-03-05 09:00:00,0.0149,0.0151,0.0146,0.0149,268307378290.25778,3994829144.9940767
2023-03-06 09:00:00,0.0149,0.015,0.0145,0.0147,460201741591.8663,6749434536.686373
2023-03-07 09:00:00,0.0147,0.0151,0.0141,0.0148,804290818512.2023,11707974106.954424
