,open,high,low,close,volume,value
2021-09-28 09:00:00,1265.0,1295.0,1195.0,1205.0,2041067.15511628,2538271355.9364367
2021-09-29 09:00:00,1200.0,1280.0,1180.0,1240.0,1280915.34607672,1583986195.9127686
2021-09-30 09:00:00,1235.0,1380.0,1225.0,1340.0,4491599.10494994,5873650910.502763
2021-10-01 09:00:00,1340.0,1475.0,1315.0,1460.0,4900202.7465757,6851703273.519347
2021-10-02 09:00:00,1460.0,1505.0,1435.0,1460.0,3731437.0397238,5489638518.398343
2021-10-03 09:00:00,1460.0,1500.0,1400.0,1475.0,3349055.79005159,4895451844.831328
2021-10-04 09:00:00,1475.0,1535.0,1415.0,1535.0,7483416.93352713,11064487340.401562
2021-10-05 09:00:00,1530.0,1635.0,1460.0,1610.0,7700567.31309634,11836169208.225363
2021-10-06 09:00:00,1610.0,1720.0,1530.0,1650.0,14427798.60683908,23518102855.85189
2021-10-07 09:00:00,1655.0,1900.0,1580.0,1625.0,15846294.25891835,26479120824.607136
2021-10-08 09:00:00,1630.0,1760.0,1590.0,1740.0,14088187.83612422,23621607611.90266
2021-10-09 09:00:00,1735.0,1810.0,1650.0,1705.0,12569346.20678696,21673044025.81749
2021-10-10 09:00:00,1700.0,1895.0,1665.0,1890.0,19391211.98725147,34383074711.53325
2021-10-11 09:00:00,1880.0,1890.0,1700.0,1770.0,12600898.35258345,22359895293.281784
2021-10-12 09:00:00,1770.0,1770.0,1525.0,1625.0,11120409.0847824,17967765370.25236
2021-10-13 09:00:00,1615.0,1655.0,1555.0,1645.0,6238458.28172423,9966182830.806267
2021-10-14 09:00:00,1645.0,1670.0,1610.0,1655.0,5023147.51611566,8194948225.166056
2021-10-15 09:00:00,1655.0,1655.0,1505.0,1605.0,6111817.21174192,9686475025.71385
2021-10-16 09:00:00,1605.0,1725.0,1580.0,1645.0,7162010.88025356,11925809853.084734
2021-10-17 09:00:00,1650.0,1655.0,1535.0,1590.0,2069040.34383566,3306492931.7610917
2021-10-18 09:00:00,1580.0,1645.0,1515.0,1580.0,5439464.7658476,8624335080.597828
2021-10-19 09:00:00,1580.0,1580.0,1510.0,1555.0,2433361.83981072,3753260373.823456
2021-10-20 09:00:00,1560.0,1705.0,1510.0,1570.0,7783504.32618443,12272565951.72045
2021-10-21 09:00:00,1570.0,1600.0,1510.0,1530.0,2807455.17111416,4388712898.060987
2021-10-22 09:00:00,1530.0,1565.0,1510.0,1555.0,3579574.88849091,5528667893.491854
2021-10-23 09:00:00,1560.0,1690.0,1520.0,1560.0,10471523.10152487,16601497937.218138
2021-10-24 09:00:00,1560.0,1580.0,1520.0,1570.0,2801028.6300905,4332813977.009624
2021-10-25 09:00:00,1570.0,1610.0,1535.0,1610.0,2247453.03471376,3532995876.876063
2021-10-26 09:00:00,1605.0,1640.0,1565.0,1585.0,2801698.1310612,4460222484.652259
2021-10-27 09:00:00,1585.0,1640.0,1350.0,1400.0,11011232.770735,16617777622.152699
2021-10-28 09:00:00,1400.0,1450.0,1345.0,1450.0,3265048.35588876,4605906308.69305
2021-10-29 09:00:00,1445.0,1500.0,1425.0,1500.0,4418883.14798536,6490559410.71383
2021-10-30 09:00:00,1500.0,1600.0,1445.0,1565.0,13517293.09639493,20607062360.05452
2021-10-31 09:00:00,1575.0,3470.0,1530.0,2405.0,726548746.9956243,1888671957178.5415
2021-11-01 09:00:00,2410.0,2605.0,1985.0,2210.0,187729623.00490347,417826567854.2777
2021-11-02 09:00:00,2210.0,2590.0,2140.0,2190.0,105653794.13514921,245642578599.01935
2021-11-03 09:00:00,2190.0,2195.0,1940.0,2030.0,20211532.08036429,41535306634.96041
2021-11-04 09:00:00,2025.0,2030.0,1905.0,1950.0,9860221.92376182,19361126635.68657
2021-11-05 09:00:00,1950.0,2095.0,1930.0,1970.0,19065199.333982,38330226538.61897
2021-11-06 09:00:00,1970.0,2050.0,1930.0,2025.0,8156538.26602433,16192514381.313116
2021-11-07 09:00:00,2025.0,2090.0,1990.0,2005.0,6596394.93162319,13386846927.900698
2021-11-08 09:00:00,2005.0,2015.0,1890.0,1950.0,7029173.77146781,13600317113.775688
