,open,high,low,close,volume,value
2021-09-28 09:00:00,97.8,99.6,91.9,92.2,54026084.7299676,5162490141.809402
2021-09-29 09:00:00,92.2,104.0,91.0,101.0,105497804.77230635,10413130376.837194
2021-09-30 09:00:00,102.0,109.0,100.0,104.0,127065350.14761953,13309401317.389057
2021-10-01 09:00:00,105.0,118.0,103.0,114.0,151407931.46043321,16777641681.039562
2021-10-02 09:00:00,115.0,124.0,113.0,118.0,141069963.83092725,16815614890.729849
2021-10-03 09:00:00,118.0,126.0,115.0,121.0,81159172.66662683,9828745055.658693
2021-10-04 09:00:00,122.0,123.0,115.0,119.0,86185129.489757,10236655702.128233
2021-10-05 09:00:00,119.0,129.0,117.0,124.0,107925400.77757005,13336253194.84278
2021-10-06 09:00:00,124.0,125.0,112.0,120.0,204729681.798616,24433538303.592243
2021-10-07 09:00:00,121.0,121.0,116.0,120.0,95106682.83555073,11260197722.643074
2021-10-08 09:00:00,120.0,126.0,119.0,123.0,203593725.18595663,25002124681.828995
2021-10-09 09:00:00,123.0,132.0,121.0,127.0,198539746.6642766,25095183498.23069
2021-10-10 09:00:00,127.0,127.0,118.0,119.0,109437592.51527452,13444309839.921986
2021-10-11 09:00:00,119.0,121.0,115.0,117.0,84751250.67026705,10071230820.76008
2021-10-12 09:00:00,117.0,117.0,107.0,113.0,98040723.28342786,10919554560.042507
2021-10-13 09:00:00,113.0,116.0,110.0,115.0,93397824.2709006,10569244462.055204
2021-10-14 09:00:00,115.0,121.0,114.0,120.0,115980765.6677464,13693778737.54335
2021-10-15 09:00:00,120.0,123.0,113.0,118.0,138183533.05513838,16209603847.598555
2021-10-16 09:00:00,118.0,123.0,116.0,120.0,82148701.42043553,9833506205.317589
2021-10-17 09:00:00,120.0,121.0,113.0,116.0,40434304.29135962,4760972992.07646
2021-10-18 09:00:00,116.0,118.0,112.0,116.0,78362333.27991399,9021698955.835722
2021-10-19 09:00:00,116.0,116.0,111.0,113.0,51357761.36717033,5834793770.324338
2021-10-20 09:00:00,113.0,118.0,111.0,117.0,70571680.13055404,8037760326.730797
2021-10-21 09:00:00,117.0,122.0,114.0,116.0,126515365.0109375,14990676097.446901
2021-10-22 09:00:00,116.0,126.0,115.0,125.0,201913613.63607487,24572675098.16788
2021-10-23 09:00:00,125.0,129.0,122.0,125.0,77969423.81398706,9823429286.626139
2021-10-24 09:00:00,125.0,131.0,123.0,124.0,165192218.4938069,20998745787.583134
2021-10-25 09:00:00,125.0,139.0,124.0,134.0,241876079.2200087,31837851943.20928
2021-10-26 09:00:00,134.0,135.0,128.0,129.0,81205425.138241,10784087070.700336
2021-10-27 09:00:00,129.0,134.0,112.0,115.0,160344946.43386292,19767794389.16071
2021-10-28 09:00:00,115.0,122.0,114.0,119.0,109763028.68809678,12985926611.10284
2021-10-29 09:00:00,119.0,123.0,118.0,122.0,129124524.82992922,15629215763.099058
2021-10-30 09:00:00,122.0,124.0,117.0,121.0,136247101.58904064,16372257936.662077
2021-10-31 09:00:00,120.0,148.0,120.0,132.0,1411005805.6504455,192094355781.81326
2021-11-01 09:00:00,133.0,135.0,123.0,134.0,229846634.9224331,29919454785.996887
2021-11-02 09:00:00,134.0,138.0,130.0,135.0,214889436.90233058,28846003599.71633
2021-11-03 09:00:00,135.0,135.0,125.0,131.0,136431551.40090582,17721681968.763943
2021-11-04 09:00:00,131.0,134.0,128.0,131.0,118208700.0881077,15459756252.261362
2021-11-05 09:00:00,131.0,137.0,129.0,133.0,117834757.70926848,15649992596.468996
2021-11-06 09:00:00,133.0,135.0,128.0,130.0,78214702.01683667,10265639117.065308
2021-11-07 09:00:00,130.0,135.0,130.0,132.0,122080743.9149036,16208297400.2319
2021-11-08 09:00:00,133.0,136.0,130.0,135.0,111770951.97584039,14767851353.436304
2021-11-09 09:00:00,135.0,138.0,131.0,136.0,207672002.0511165,28041332761.495205
2021-11-10 09:00:00,136.0,137.0,122.0,126.0,229578907.58776778,29891364917.040077
2021-11-11 09:00:00,126.0,128.0,123.0,125.0,90283154.35744968,11340706970.928003
2021-11-12 09:00:00,125.0,126.0,120.0,122.0,113236253.37649095,13881267744.073736
2021-11-13 09:00:00,122.0,125.0,121.0,123.0,58632480.87401201,7210134892.39748
2021-11-14 09:00:00,123.0,124.0,121.0,123.0,46113347.69905746,5667023764.8345585
2021-11-15 09:00:00,123.0,127.0,122.0,124.0,135798692.4653404,16996201211.021143
2021-11-16 09:00:00,125.0,125.0,111.0,114.0,225907719.8941326,26438837548.53491
2021-11-17 09:00:00,115.0,118.0,110.0,118.0,210036858.21412855,24135646118.83216
2021-11-18 09:00:00,117.0,118.0,106.0,108.0,192413887.70079702,21872372745.989056
2021-11-19 09:00:00,108.0,115.0,105.0,113.0,89389310.87265544,9867178211.34289
2021-11-20 09:00:00,114.0,115.0,111.0,115.0,69837103.29311772,7936793502.07656
2021-11-21 09:00:00,114.0,118.0,114.0,115.0,109349959.47091475,12638070660.713837
2021-11-22 09:00:00,116.0,116.0,110.0,112.0,128943852.90926827,14531543422.330233
2021-11-23 09:00:00,111.0,114.0,109.0,113.0,83670812.38347884,9319839619.63406
2021-11-24 09:00:00,113.0,115.0,107.0,109.0,147783439.16090453,16351157324.888805
2021-11-25 09:00:00,109.0,113.0,109.0,112.0,122746104.46588217,13619426083.22631
2021-11-26 09:00:00,112.0,114.0,102.0,104.0,236062338.23398015,25524196729.33253
2021-11-27 09:00:00,104.0,108.0,103.0,107.0,81477078.50141448,8690974654.676462
2021-11-28 09:00:00,107.0,108.0,100.0,105.0,112067242.50962938,11621751884.893343
2021-11-29 09:00:00,105.0,120.0,105.0,115.0,461065093.39058954,52488696067.93751
2021-11-30 09:00:00,114.0,116.0,108.0,109.0,133981741.63716139,14930853108.276377
2021-12-01 09:00:00,108.0,112.0,107.0,108.0,77081323.34161817,8410566666.609931
2021-12-02 09:00:00,108.0,109.0,105.0,107.0,50943916.67433404,5451947333.247501
2021-12-03 09:00:00,107.0,111.0,102.0,104.0,94737255.44439916,10075096079.00596
2021-12-04 09:00:00,104.0,104.0,69.4,88.7,222318886.6223027,19800484738.330036
